시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명,해제사유발생일,거래구분,중개사사무소
경기도 김포시 감정동,1**,단독,8m미만,62.1,410,202401,18,"31,000",2000,옹주물로,,직거래,-
경기도 김포시 걸포동,1***,단독,12m미만,457.74,248.7,202306,29,"138,500",2023,걸포로10번길,,중개거래,경기 고양일산서구
경기도 김포시 고촌읍 신곡리,1***,다가구,25m미만,366.82,248,202306,29,"125,000",2023,신곡로3번길,,중개거래,경기 김포시
경기도 김포시 고촌읍 신곡리,5**,단독,12m미만,183.91,399,202307,13,"120,000",1999,장차로,20231116,중개거래,경기 김포시
경기도 김포시 고촌읍 신곡리,6**,단독,-,198.9,631,202310,24,"119,000",1997,null,,중개거래,인천 계양구
경기도 김포시 고촌읍 전호리,2*,단독,8m미만,57.01,489,202306,5,"52,000",1997,전호로26번길,,중개거래,경기 김포시
경기도 김포시 고촌읍 풍곡리,4**,단독,8m미만,71.1,126,202307,7,"27,000",1980,장곡로52번길,,중개거래,경기 김포시
경기도 김포시 고촌읍 풍곡리,1**,단독,8m미만,91.78,198,202307,20,"54,430",null,금포로429번길,,중개거래,경기 김포시
경기도 김포시 고촌읍 풍곡리,6*,단독,8m미만,169.35,265,202311,18,"185,000",1998,금포로491번길,,중개거래,경기 김포시
경기도 김포시 고촌읍 풍곡리,*,단독,8m미만,229.29,330,202311,20,"130,000",2005,금포로451번길,,중개거래,"경기 김포시, 인천 계양구"
경기도 김포시 고촌읍 풍곡리,3**,단독,8m미만,54,934,202311,2,"138,000",2019,풍굴로92번길,,중개거래,경기 김포시
경기도 김포시 구래동,6***,다가구,12m미만,612.14,355,202306,27,"115,000",2023,김포한강9로12번길,,직거래,-
경기도 김포시 대곶면 대능리,3**,단독,8m미만,169.78,267,202308,28,"52,000",2017,대곶남로501번안길,20231030,중개거래,경기 김포시
경기도 김포시 대곶면 대능리,3**,단독,8m미만,169.78,267,202310,31,"48,492",2017,대곶남로501번안길,,중개거래,경기 김포시
경기도 김포시 대곶면 대벽리,3**,단독,8m미만,155.87,567,202306,24,"31,100",2023,대곶서로166번길,,중개거래,경기 고양일산서구
경기도 김포시 대곶면 송마리,3**,단독,8m미만,96.48,400,202307,14,"13,000",1995,대곶로202번길,,직거래,-
경기도 김포시 대곶면 송마리,4**,단독,8m미만,157.79,491,202311,3,"34,000",2014,대곶로,,직거래,-
경기도 김포시 대곶면 약암리,4**,단독,8m미만,57.6,443,202307,20,"25,700",1993,약암로,,중개거래,경기 김포시
경기도 김포시 대곶면 약암리,3**,단독,8m미만,160.7,473,202307,10,"41,193",2023,대명항로551번길,,중개거래,인천 미추홀구
경기도 김포시 대곶면 율생리,4**,다가구,8m미만,608.98,366,202307,16,"122,913",2018,율생중앙로75번길,,중개거래,경기 김포시
경기도 김포시 대곶면 율생리,4**,단독,12m미만,81.4,107,202306,13,"20,500",2023,율생중앙로,,중개거래,경기 김포시
경기도 김포시 대곶면 율생리,3**,단독,8m미만,104.27,119,202311,5,"18,000",2001,종생로,,중개거래,경기 김포시
경기도 김포시 대곶면 율생리,3**,단독,8m미만,189.96,337,202309,14,"22,500",1996,종생로20번길,,중개거래,서울 강남구
경기도 김포시 대곶면 율생리,3*,단독,25m미만,266.8,888,202306,30,"150,000",2002,대곶북로,,직거래,-
경기도 김포시 마산동,6**,다가구,12m미만,615.68,343.3,202308,10,"190,000",2019,김포한강8로148번길,,중개거래,경기 김포시
경기도 김포시 북변동,7**,다가구,12m미만,441.64,203.5,202310,13,"62,000",1996,북변1로16번길,,직거래,-
경기도 김포시 사우동,2**,다가구,12m미만,548.26,269.3,202306,21,"117,500",2002,사우중로3번길,,중개거래,경기 김포시
경기도 김포시 사우동,2**,단독,8m미만,75.01,158,202312,18,"59,700",1979,관순로,,중개거래,경기 김포시
경기도 김포시 사우동,2**,단독,8m미만,61.02,159,202308,26,"53,000",1978,관순로,,중개거래,경기 김포시
경기도 김포시 사우동,2**,단독,12m미만,539.52,405,202306,9,"90,000",1994,봉화로,,직거래,-
경기도 김포시 양촌읍 구래리,7**,단독,8m미만,99.6,201,202309,2,"51,000",2020,봉수대로,,중개거래,경기 김포시
경기도 김포시 양촌읍 구래리,2**,단독,8m미만,92.24,212,202306,27,"56,943",2023,유현삭시로,,직거래,-
경기도 김포시 양촌읍 구래리,6**,단독,8m미만,90,250,202308,22,"48,192",2022,김포한강8로,,직거래,-
경기도 김포시 양촌읍 구래리,6**,단독,8m미만,84.93,273,202308,16,"40,000",2019,김포한강8로,,직거래,-
경기도 김포시 양촌읍 구래리,2**,단독,8m미만,99.54,314,202306,27,"58,000",2021,null,,직거래,-
경기도 김포시 양촌읍 누산리,1**,단독,8m미만,168.97,153,202307,15,"17,500",2023,누산로48번길,,중개거래,경기 김포시
경기도 김포시 양촌읍 누산리,1**,단독,8m미만,168.97,153,202306,26,"17,500",2023,누산로48번길,20230719,중개거래,경기 김포시
경기도 김포시 양촌읍 누산리,1**,단독,8m미만,95.2,314,202306,14,"47,000",2023,누산로,,중개거래,서울 강남구
경기도 김포시 양촌읍 양곡리,1***,다가구,25m미만,185.36,233.7,202401,4,"74,500",2017,양곡3로1번길,,중개거래,경기 김포시
경기도 김포시 양촌읍 양곡리,1***,단독,12m미만,74.56,93.37,202311,16,"38,800",2019,양곡3로1번길,,중개거래,경기 김포시
경기도 김포시 양촌읍 양곡리,4**,단독,12m미만,160.02,105,202312,1,"35,000",1980,양곡1로,,중개거래,경기 김포시
경기도 김포시 양촌읍 양곡리,1***,단독,12m미만,84.88,126.85,202312,26,"50,000",2018,양곡3로1번길,20240131,중개거래,경기 구리시
경기도 김포시 양촌읍 양곡리,1***,단독,12m미만,84.53,135.85,202311,9,"47,500",2021,양곡3로1번길,,중개거래,경기 김포시
경기도 김포시 양촌읍 양곡리,3**,단독,8m미만,147.33,187,202306,26,"25,300",1989,양곡1로24번길,,직거래,-
경기도 김포시 양촌읍 양곡리,3**,단독,25m미만,239.6,530,202311,7,"95,862",2016,양곡우회로,20231226,중개거래,경기 김포시
경기도 김포시 양촌읍 양곡리,3**,단독,25m미만,239.6,679,202311,7,"120,000",2016,양곡우회로,,중개거래,경기 김포시
경기도 김포시 양촌읍 학운리,1***,단독,8m미만,87.6,580,202312,6,"38,700",2017,삼도로,20240118,직거래,-
경기도 김포시 양촌읍 학운리,1***,단독,8m미만,87.6,580,202312,6,"38,700",2017,삼도로,,직거래,-
경기도 김포시 양촌읍 흥신리,2**,단독,8m미만,97.47,303,202309,14,"28,000",1998,흥신로,,직거래,-
경기도 김포시 양촌읍 흥신리,3**,단독,8m미만,95.67,473,202308,13,"54,570",2016,흥신로239번길,,직거래,-
경기도 김포시 운양동,1***,다가구,12m미만,84.97,184.7,202306,15,"96,000",2023,김포한강11로494번길,,중개거래,경기 김포시
경기도 김포시 운양동,1***,단독,12m미만,59.79,54.18,202309,15,"50,000",2021,모담공원로,,중개거래,서울 용산구
경기도 김포시 운양동,1***,단독,12m미만,121.01,154.7,202306,26,"75,000",2021,모담공원로167번길,,직거래,-
경기도 김포시 운양동,1***,단독,8m미만,101.64,162.7,202306,13,"70,000",2023,모담공원로167번길,,중개거래,인천 계양구
경기도 김포시 운양동,1***,단독,8m미만,109.66,168.25,202306,13,"81,800",2023,모담공원로167번길,,중개거래,경기 김포시
경기도 김포시 운양동,1***,단독,12m미만,116.74,176.1,202306,17,"108,000",2023,모담공원로167번길,,중개거래,경기 김포시
경기도 김포시 월곶면 갈산리,4**,다가구,8m미만,442.67,625,202307,28,"95,000",2016,비석동로,,직거래,-
경기도 김포시 월곶면 갈산리,5**,단독,8m미만,68.66,259,202310,19,"14,800",1992,군하로,,중개거래,경기 김포시
경기도 김포시 월곶면 갈산리,2**,단독,8m미만,62.92,327,202308,28,"12,500",2023,점동로,,직거래,-
경기도 김포시 월곶면 갈산리,2**,단독,8m미만,154.78,412,202308,8,"19,700",2023,점동로,,중개거래,경기 김포시
경기도 김포시 월곶면 개곡리,2**,단독,8m미만,123.93,730,202308,1,"31,700",1998,애기봉로,,중개거래,경기 김포시
경기도 김포시 월곶면 고막리,2**,단독,8m미만,109.24,225,202311,29,"19,300",2008,용강로103번길,,중개거래,경기 김포시
경기도 김포시 월곶면 고막리,1**,단독,8m미만,106.88,275,202310,12,"34,500",2019,용강로,,직거래,-
경기도 김포시 월곶면 고막리,1**,단독,8m미만,84.93,343,202307,17,"42,300",2014,용강로103번길,,중개거래,경기 김포시
경기도 김포시 월곶면 고막리,1**,단독,8m미만,198.62,395,202309,16,"57,000",2014,용강로103번길,,중개거래,경기 김포시
경기도 김포시 월곶면 고막리,2**,단독,8m미만,199.8,1023,202306,12,"86,450",2014,용강로,,직거래,-
경기도 김포시 월곶면 군하리,2**,단독,8m미만,46.48,423,202310,16,"11,000",2023,null,,직거래,-
경기도 김포시 월곶면 성동리,2**,단독,8m미만,169.61,268,202307,7,"18,418",2023,문수산로,,중개거래,경기 김포시
경기도 김포시 월곶면 용강리,3**,단독,8m미만,105.15,310,202310,4,"11,500",1980,용강로437번길,,중개거래,경기 김포시
경기도 김포시 월곶면 조강리,2**,단독,8m미만,86.65,808,202401,24,"28,500",2018,용강로250번길,,직거래,-
경기도 김포시 월곶면 포내리,1**,단독,8m미만,76.59,132,202308,1,"6,000",1995,김포대로2918번길,,중개거래,경기 김포시
경기도 김포시 월곶면 포내리,1**,단독,12m미만,83.79,401,202310,11,"30,500",1996,포내로72번길,,중개거래,경기 김포시
경기도 김포시 월곶면 포내리,3*,단독,8m미만,210.28,437,202310,18,"25,000",1998,김포대로2986번길,,직거래,-
경기도 김포시 월곶면 포내리,3**,단독,8m미만,69.8,495,202308,10,"20,000",2012,포내로,,중개거래,경기 김포시
경기도 김포시 월곶면 포내리,3**,단독,8m미만,69.8,495,202307,27,"22,000",2012,포내로,20230808,중개거래,경기 김포시
경기도 김포시 월곶면 포내리,8*,단독,8m미만,76.36,797,202309,18,"27,000",2000,김포대로2970번길,,중개거래,경기 김포시
경기도 김포시 장기동,2***,다가구,25m미만,546.87,347.1,202306,8,"235,000",2023,초당로16번길,,중개거래,경기 김포시
경기도 김포시 장기동,2***,단독,12m미만,127.35,183,202312,8,"70,000",2019,초당로16번길,,중개거래,경기 김포시
경기도 김포시 장기동,1***,단독,12m미만,322.98,538.5,202312,28,"180,000",2021,김포한강3로237번길,,직거래,-
경기도 김포시 통진읍 가현리,6**,단독,8m미만,96.39,436,202306,7,"32,000",2023,가현로85번길,,직거래,-
경기도 김포시 통진읍 고정리,3**,단독,8m미만,105.42,294,202309,15,"7,000",1981,null,,직거래,-
경기도 김포시 통진읍 도사리,1*,단독,8m미만,81.55,397,202311,15,"28,000",2018,도사로,,중개거래,인천 서구
경기도 김포시 통진읍 도사리,6**,단독,8m미만,71.28,598,202401,18,"41,800",1993,김포대로,,중개거래,경기 김포시
경기도 김포시 통진읍 도사리,1**,단독,8m미만,180.91,650,202311,13,"37,000",2006,도사로,,중개거래,경기 김포시
경기도 김포시 통진읍 마송리,5**,다가구,12m미만,446.52,258.1,202312,29,"100,000",2011,율마로438번길,,직거래,-
경기도 김포시 통진읍 마송리,5**,다가구,12m미만,479.73,272.4,202306,12,"90,000",2011,율마로384번길,,직거래,-
경기도 김포시 통진읍 서암리,4**,다가구,12m미만,131.76,330,202309,19,"35,000",2014,서암로,,중개거래,경기 김포시
경기도 김포시 통진읍 서암리,8**,단독,8m미만,84.51,222,202310,20,"39,500",2018,담터로55번길,,직거래,-
경기도 김포시 통진읍 서암리,8**,단독,8m미만,99.05,328,202307,25,"65,700",2023,김포대로2344번길,,직거래,-
경기도 김포시 통진읍 서암리,8**,단독,8m미만,134.02,366,202308,8,"48,250",2017,담터로55번길,,중개거래,경기 김포시
경기도 김포시 통진읍 서암리,3**,단독,8m미만,146.4,485,202401,5,"76,487",2023,서암로194번길,,직거래,-
경기도 김포시 통진읍 옹정리,1**,단독,8m미만,77.94,325,202312,19,"15,000",2002,옹정로,,중개거래,경기 김포시
경기도 김포시 통진읍 옹정리,1**,단독,8m미만,143.1,588,202306,1,"62,250",2023,옹달샘로81번길,,중개거래,경기 김포시
경기도 김포시 풍무동,6*,다가구,8m미만,181.8,565,202311,27,"84,650",2015,풍무로131번길,,중개거래,경기 김포시
경기도 김포시 하성면 마곡리,8*,단독,8m미만,103.04,600,202311,22,"37,600",2004,월하로859번길,,중개거래,경기 김포시
경기도 김포시 하성면 봉성리,1**,단독,8m미만,132.1,495,202312,26,"26,000",2009,하사로,,직거래,-
경기도 김포시 하성면 봉성리,1**,단독,8m미만,401.38,862,202306,27,"81,000",2023,봉성로159번길,,중개거래,경기 김포시
경기도 김포시 하성면 양택리,2**,단독,8m미만,127.13,267,202311,27,"39,700",2022,하성로794번길,,직거래,-
경기도 김포시 하성면 양택리,2**,단독,8m미만,127.13,267,202307,29,"42,700",2022,하성로794번길,,중개거래,경기 김포시
경기도 김포시 하성면 양택리,2**,단독,8m미만,199.78,809,202307,11,"73,200",1997,하성로,,중개거래,경기 김포시
경기도 김포시 하성면 후평리,5**,단독,8m미만,90.41,256,202307,4,"41,000",2022,하성로794번길,,직거래,-
경기도 김포시 하성면 후평리,5**,단독,8m미만,90.41,256,202307,17,"41,000",2022,하성로794번길,,직거래,-
경기도 김포시 하성면 후평리,5**,단독,8m미만,90.41,273,202306,19,"45,200",2022,하성로794번길,,직거래,-
경기도 김포시 하성면 후평리,5**,단독,8m미만,153.07,318,202312,12,"55,000",2022,하성로794번길,,직거래,-
경기도 김포시 하성면 후평리,5**,단독,8m미만,84.81,326,202306,19,"45,700",2022,하성로794번길,,직거래,-